question=['bad' 'worse' 'big' 'bigger'], predicted=bigger
question=['tight' 'tighter' 'deep' 'deeper'], predicted=deeper
question=['tight' 'tighter' 'easy' 'easier'], predicted=easier
question=['tight' 'tighter' 'heavy' 'heavier'], predicted=heavier
question=['tight' 'tighter' 'high' 'higher'], predicted=higher
question=['tight' 'tighter' 'slow' 'slower'], predicted=slower
question=['tight' 'tighter' 'smart' 'smarter'], predicted=smarter
question=['tight' 'tighter' 'tall' 'taller'], predicted=taller
question=['tough' 'tougher' 'weak' 'weaker'], predicted=weaker
question=['tough' 'tougher' 'young' 'younger'], predicted=younger
question=['tough' 'tougher' 'cheap' 'cheaper'], predicted=cheaper
question=['tough' 'tougher' 'easy' 'easier'], predicted=easier
question=['tough' 'tougher' 'fast' 'faster'], predicted=faster
question=['tough' 'tougher' 'hard' 'harder'], predicted=harder
question=['tough' 'tougher' 'high' 'higher'], predicted=higher
question=['tough' 'tougher' 'hot' 'hotter'], predicted=hotter
question=['tough' 'tougher' 'large' 'larger'], predicted=larger
question=['tough' 'tougher' 'short' 'shorter'], predicted=shorter
question=['tough' 'tougher' 'simple' 'simpler'], predicted=simpler
question=['warm' 'warmer' 'bright' 'brighter'], predicted=brighter
question=['warm' 'warmer' 'deep' 'deeper'], predicted=deeper
question=['warm' 'warmer' 'fast' 'faster'], predicted=faster
question=['warm' 'warmer' 'great' 'greater'], predicted=greater
question=['warm' 'warmer' 'hard' 'harder'], predicted=harder
question=['warm' 'warmer' 'safe' 'safer'], predicted=safer
question=['warm' 'warmer' 'short' 'shorter'], predicted=shorter
question=['warm' 'warmer' 'simple' 'simpler'], predicted=simpler
question=['warm' 'warmer' 'slow' 'slower'], predicted=slower
question=['warm' 'warmer' 'small' 'smaller'], predicted=smaller
question=['weak' 'weaker' 'bad' 'worse'], predicted=worse
question=['weak' 'weaker' 'big' 'bigger'], predicted=bigger
question=['weak' 'weaker' 'bright' 'brighter'], predicted=brighter
question=['weak' 'weaker' 'cheap' 'cheaper'], predicted=cheaper
question=['weak' 'weaker' 'cool' 'cooler'], predicted=cooler
question=['weak' 'weaker' 'easy' 'easier'], predicted=easier
question=['weak' 'weaker' 'fast' 'faster'], predicted=faster
question=['weak' 'weaker' 'great' 'greater'], predicted=greater
question=['weak' 'weaker' 'hard' 'harder'], predicted=harder
question=['weak' 'weaker' 'high' 'higher'], predicted=higher
question=['weak' 'weaker' 'hot' 'hotter'], predicted=hotter
question=['weak' 'weaker' 'large' 'larger'], predicted=larger
question=['weak' 'weaker' 'slow' 'slower'], predicted=slower
question=['weak' 'weaker' 'small' 'smaller'], predicted=smaller
question=['weak' 'weaker' 'strong' 'stronger'], predicted=stronger
question=['weak' 'weaker' 'tall' 'taller'], predicted=taller
question=['wide' 'wider' 'young' 'younger'], predicted=younger
question=['wide' 'wider' 'big' 'bigger'], predicted=bigger
question=['wide' 'wider' 'bright' 'brighter'], predicted=brighter
question=['wide' 'wider' 'cheap' 'cheaper'], predicted=cheaper
question=['wide' 'wider' 'deep' 'deeper'], predicted=deeper
question=['wide' 'wider' 'easy' 'easier'], predicted=easier
question=['wide' 'wider' 'fast' 'faster'], predicted=faster
question=['wide' 'wider' 'great' 'greater'], predicted=greater
question=['wide' 'wider' 'hard' 'harder'], predicted=harder
question=['wide' 'wider' 'high' 'higher'], predicted=higher
question=['wide' 'wider' 'large' 'larger'], predicted=larger
question=['wide' 'wider' 'long' 'longer'], predicted=longer
question=['wide' 'wider' 'old' 'older'], predicted=older
question=['wide' 'wider' 'safe' 'safer'], predicted=safer
question=['wide' 'wider' 'simple' 'simpler'], predicted=simpler
question=['wide' 'wider' 'slow' 'slower'], predicted=slower
question=['wide' 'wider' 'strong' 'stronger'], predicted=stronger
question=['wide' 'wider' 'tall' 'taller'], predicted=taller
question=['wide' 'wider' 'warm' 'warmer'], predicted=warmer
question=['young' 'younger' 'bright' 'brighter'], predicted=brighter
question=['young' 'younger' 'easy' 'easier'], predicted=easier
question=['young' 'younger' 'hard' 'harder'], predicted=harder
question=['young' 'younger' 'large' 'larger'], predicted=larger
question=['young' 'younger' 'low' 'lower'], predicted=lower
question=['young' 'younger' 'old' 'older'], predicted=older
question=['young' 'younger' 'slow' 'slower'], predicted=slower
question=['young' 'younger' 'small' 'smaller'], predicted=smaller
question=['young' 'younger' 'warm' 'warmer'], predicted=warmer
