question=['bad' 'worse' 'big' 'bigger'], predicted=larger
question=['safe' 'safer' 'great' 'greater'], predicted=baekje
question=['safe' 'safer' 'heavy' 'heavier'], predicted=lighter
question=['safe' 'safer' 'high' 'higher'], predicted=low
question=['safe' 'safer' 'hot' 'hotter'], predicted=bland
question=['safe' 'safer' 'long' 'longer'], predicted=much
question=['safe' 'safer' 'loud' 'louder'], predicted=harmonics
question=['safe' 'safer' 'low' 'lower'], predicted=high
question=['safe' 'safer' 'new' 'newer'], predicted=york
question=['safe' 'safer' 'quick' 'quicker'], predicted=moclobemide
question=['sharp' 'sharper' 'short' 'shorter'], predicted=sal
question=['sharp' 'sharper' 'simple' 'simpler'], predicted=complicated
question=['sharp' 'sharper' 'slow' 'slower'], predicted=faster
question=['sharp' 'sharper' 'small' 'smaller'], predicted=large
question=['sharp' 'sharper' 'smart' 'smarter'], predicted=giotto
question=['sharp' 'sharper' 'strong' 'stronger'], predicted=considerable
question=['sharp' 'sharper' 'tight' 'tighter'], predicted=griese
question=['sharp' 'sharper' 'tough' 'tougher'], predicted=gomez
question=['sharp' 'sharper' 'warm' 'warmer'], predicted=dry
question=['sharp' 'sharper' 'weak' 'weaker'], predicted=gravitational
question=['sharp' 'sharper' 'wide' 'wider'], predicted=widest
question=['sharp' 'sharper' 'young' 'younger'], predicted=women
question=['sharp' 'sharper' 'bad' 'worse'], predicted=good
question=['sharp' 'sharper' 'big' 'bigger'], predicted=sal
question=['sharp' 'sharper' 'cold' 'colder'], predicted=icy
question=['sharp' 'sharper' 'cool' 'cooler'], predicted=summers
question=['sharp' 'sharper' 'fast' 'faster'], predicted=erev
question=['sharp' 'sharper' 'good' 'better'], predicted=bad
question=['sharp' 'sharper' 'great' 'greater'], predicted=distilleries
question=['sharp' 'sharper' 'heavy' 'heavier'], predicted=metal
question=['sharp' 'sharper' 'high' 'higher'], predicted=low
question=['sharp' 'sharper' 'hot' 'hotter'], predicted=duomo
question=['sharp' 'sharper' 'large' 'larger'], predicted=small
question=['sharp' 'sharper' 'long' 'longer'], predicted=short
question=['sharp' 'sharper' 'loud' 'louder'], predicted=dhol
question=['sharp' 'sharper' 'low' 'lower'], predicted=high
question=['sharp' 'sharper' 'new' 'newer'], predicted=modern
question=['sharp' 'sharper' 'old' 'older'], predicted=castle
question=['sharp' 'sharper' 'quick' 'quicker'], predicted=ol
question=['sharp' 'sharper' 'safe' 'safer'], predicted=ensure
question=['short' 'shorter' 'smart' 'smarter'], predicted=cheaper
question=['short' 'shorter' 'tall' 'taller'], predicted=ft
question=['short' 'shorter' 'tight' 'tighter'], predicted=linebackers
question=['short' 'shorter' 'tough' 'tougher'], predicted=lighter
question=['short' 'shorter' 'warm' 'warmer'], predicted=colder
question=['short' 'shorter' 'weak' 'weaker'], predicted=stronger
question=['short' 'shorter' 'big' 'bigger'], predicted=smaller
question=['short' 'shorter' 'cool' 'cooler'], predicted=colder
question=['short' 'shorter' 'deep' 'deeper'], predicted=thicker
question=['short' 'shorter' 'heavy' 'heavier'], predicted=lighter
question=['short' 'shorter' 'hot' 'hotter'], predicted=colder
question=['short' 'shorter' 'long' 'longer'], predicted=length
question=['short' 'shorter' 'loud' 'louder'], predicted=stabs
question=['short' 'shorter' 'low' 'lower'], predicted=higher
question=['short' 'shorter' 'new' 'newer'], predicted=york
question=['short' 'shorter' 'old' 'older'], predicted=earlier
question=['short' 'shorter' 'quick' 'quicker'], predicted=faster
question=['short' 'shorter' 'sharp' 'sharper'], predicted=steeper
question=['simple' 'simpler' 'smart' 'smarter'], predicted=cheaper
question=['simple' 'simpler' 'strong' 'stronger'], predicted=broader
question=['simple' 'simpler' 'tight' 'tighter'], predicted=tackle
question=['simple' 'simpler' 'tough' 'tougher'], predicted=thinner
question=['simple' 'simpler' 'warm' 'warmer'], predicted=colder
question=['simple' 'simpler' 'weak' 'weaker'], predicted=stronger
question=['simple' 'simpler' 'big' 'bigger'], predicted=bessie
question=['simple' 'simpler' 'cool' 'cooler'], predicted=colder
question=['simple' 'simpler' 'heavy' 'heavier'], predicted=lighter
question=['simple' 'simpler' 'long' 'longer'], predicted=shorter
question=['simple' 'simpler' 'loud' 'louder'], predicted=sounding
question=['simple' 'simpler' 'low' 'lower'], predicted=higher
question=['simple' 'simpler' 'new' 'newer'], predicted=york
question=['simple' 'simpler' 'quick' 'quicker'], predicted=cheaper
question=['simple' 'simpler' 'safe' 'safer'], predicted=ensure
question=['simple' 'simpler' 'sharp' 'sharper'], predicted=thinner
question=['slow' 'slower' 'small' 'smaller'], predicted=larger
question=['slow' 'slower' 'smart' 'smarter'], predicted=simpler
question=['slow' 'slower' 'tight' 'tighter'], predicted=linebackers
question=['slow' 'slower' 'tough' 'tougher'], predicted=stronger
question=['slow' 'slower' 'weak' 'weaker'], predicted=stronger
question=['slow' 'slower' 'young' 'younger'], predicted=children
question=['slow' 'slower' 'bad' 'worse'], predicted=good
question=['slow' 'slower' 'cold' 'colder'], predicted=warmer
question=['slow' 'slower' 'cool' 'cooler'], predicted=warmer
question=['slow' 'slower' 'deep' 'deeper'], predicted=thicker
question=['slow' 'slower' 'hard' 'harder'], predicted=faster
question=['slow' 'slower' 'heavy' 'heavier'], predicted=lighter
question=['slow' 'slower' 'hot' 'hotter'], predicted=warmer
question=['slow' 'slower' 'long' 'longer'], predicted=shorter
question=['slow' 'slower' 'loud' 'louder'], predicted=harmonics
question=['slow' 'slower' 'low' 'lower'], predicted=higher
question=['slow' 'slower' 'new' 'newer'], predicted=york
question=['slow' 'slower' 'quick' 'quicker'], predicted=stronger
question=['slow' 'slower' 'safe' 'safer'], predicted=stronger
question=['slow' 'slower' 'sharp' 'sharper'], predicted=stronger
question=['small' 'smaller' 'smart' 'smarter'], predicted=newer
question=['small' 'smaller' 'tight' 'tighter'], predicted=lighter
question=['small' 'smaller' 'tough' 'tougher'], predicted=less
question=['small' 'smaller' 'weak' 'weaker'], predicted=stronger
question=['small' 'smaller' 'cold' 'colder'], predicted=warmer
question=['small' 'smaller' 'cool' 'cooler'], predicted=colder
question=['small' 'smaller' 'good' 'better'], predicted=bad
question=['small' 'smaller' 'heavy' 'heavier'], predicted=lighter
question=['small' 'smaller' 'long' 'longer'], predicted=shorter
question=['small' 'smaller' 'loud' 'louder'], predicted=hear
question=['small' 'smaller' 'low' 'lower'], predicted=higher
question=['small' 'smaller' 'new' 'newer'], predicted=york
question=['small' 'smaller' 'quick' 'quicker'], predicted=faster
question=['small' 'smaller' 'safe' 'safer'], predicted=faster
question=['small' 'smaller' 'sharp' 'sharper'], predicted=stronger
question=['smart' 'smarter' 'strong' 'stronger'], predicted=absent
question=['smart' 'smarter' 'tall' 'taller'], predicted=feet
question=['smart' 'smarter' 'tight' 'tighter'], predicted=outfielders
question=['smart' 'smarter' 'tough' 'tougher'], predicted=jaw
question=['smart' 'smarter' 'weak' 'weaker'], predicted=absent
question=['smart' 'smarter' 'young' 'younger'], predicted=male
question=['smart' 'smarter' 'big' 'bigger'], predicted=therapsids
question=['smart' 'smarter' 'cheap' 'cheaper'], predicted=polarizations
question=['smart' 'smarter' 'cold' 'colder'], predicted=freezing
question=['smart' 'smarter' 'cool' 'cooler'], predicted=warm
question=['smart' 'smarter' 'deep' 'deeper'], predicted=thick
question=['smart' 'smarter' 'fast' 'faster'], predicted=slower
question=['smart' 'smarter' 'good' 'better'], predicted=bad
question=['smart' 'smarter' 'great' 'greater'], predicted=jaw
question=['smart' 'smarter' 'hard' 'harder'], predicted=disks
question=['smart' 'smarter' 'heavy' 'heavier'], predicted=metal
question=['smart' 'smarter' 'high' 'higher'], predicted=lower
question=['smart' 'smarter' 'hot' 'hotter'], predicted=humid
question=['smart' 'smarter' 'loud' 'louder'], predicted=jaw
question=['smart' 'smarter' 'new' 'newer'], predicted=in
question=['smart' 'smarter' 'old' 'older'], predicted=original
question=['smart' 'smarter' 'quick' 'quicker'], predicted=polarizations
question=['smart' 'smarter' 'safe' 'safer'], predicted=biennial
question=['smart' 'smarter' 'sharp' 'sharper'], predicted=jaw
question=['smart' 'smarter' 'short' 'shorter'], predicted=longer
question=['smart' 'smarter' 'simple' 'simpler'], predicted=compression
question=['smart' 'smarter' 'small' 'smaller'], predicted=larger
question=['strong' 'stronger' 'tight' 'tighter'], predicted=defensive
question=['strong' 'stronger' 'tough' 'tougher'], predicted=thinner
question=['strong' 'stronger' 'young' 'younger'], predicted=faster
question=['strong' 'stronger' 'cold' 'colder'], predicted=warmer
question=['strong' 'stronger' 'cool' 'cooler'], predicted=warmer
question=['strong' 'stronger' 'deep' 'deeper'], predicted=thicker
question=['strong' 'stronger' 'good' 'better'], predicted=worse
question=['strong' 'stronger' 'great' 'greater'], predicted=faster
question=['strong' 'stronger' 'hot' 'hotter'], predicted=warmer
question=['strong' 'stronger' 'long' 'longer'], predicted=shorter
question=['strong' 'stronger' 'loud' 'louder'], predicted=thinner
question=['strong' 'stronger' 'low' 'lower'], predicted=higher
question=['strong' 'stronger' 'new' 'newer'], predicted=more
question=['strong' 'stronger' 'old' 'older'], predicted=cheaper
question=['strong' 'stronger' 'quick' 'quicker'], predicted=faster
question=['strong' 'stronger' 'sharp' 'sharper'], predicted=thinner
question=['strong' 'stronger' 'simple' 'simpler'], predicted=faster
question=['strong' 'stronger' 'slow' 'slower'], predicted=faster
question=['strong' 'stronger' 'small' 'smaller'], predicted=larger
question=['strong' 'stronger' 'smart' 'smarter'], predicted=cheaper
question=['tall' 'taller' 'tight' 'tighter'], predicted=stronger
question=['tall' 'taller' 'tough' 'tougher'], predicted=stronger
question=['tall' 'taller' 'warm' 'warmer'], predicted=cooler
question=['tall' 'taller' 'weak' 'weaker'], predicted=stronger
question=['tall' 'taller' 'bad' 'worse'], predicted=good
question=['tall' 'taller' 'big' 'bigger'], predicted=smaller
question=['tall' 'taller' 'cold' 'colder'], predicted=warm
question=['tall' 'taller' 'cool' 'cooler'], predicted=summers
question=['tall' 'taller' 'deep' 'deeper'], predicted=breaded
question=['tall' 'taller' 'fast' 'faster'], predicted=slower
question=['tall' 'taller' 'good' 'better'], predicted=bad
question=['tall' 'taller' 'heavy' 'heavier'], predicted=metal
question=['tall' 'taller' 'high' 'higher'], predicted=low
question=['tall' 'taller' 'large' 'larger'], predicted=small
question=['tall' 'taller' 'long' 'longer'], predicted=short
question=['tall' 'taller' 'loud' 'louder'], predicted=hear
question=['tall' 'taller' 'low' 'lower'], predicted=high
question=['tall' 'taller' 'new' 'newer'], predicted=york
question=['tall' 'taller' 'old' 'older'], predicted=original
question=['tall' 'taller' 'quick' 'quicker'], predicted=stronger
question=['tall' 'taller' 'safe' 'safer'], predicted=stronger
question=['tall' 'taller' 'sharp' 'sharper'], predicted=stronger
question=['tall' 'taller' 'short' 'shorter'], predicted=original
question=['tall' 'taller' 'smart' 'smarter'], predicted=libh
question=['tight' 'tighter' 'tough' 'tougher'], predicted=faux
question=['tight' 'tighter' 'weak' 'weaker'], predicted=stronger
question=['tight' 'tighter' 'wide' 'wider'], predicted=unrolled
question=['tight' 'tighter' 'young' 'younger'], predicted=child
question=['tight' 'tighter' 'bad' 'worse'], predicted=good
question=['tight' 'tighter' 'big' 'bigger'], predicted=marrakech
question=['tight' 'tighter' 'cold' 'colder'], predicted=freezing
question=['tight' 'tighter' 'cool' 'cooler'], predicted=dry
question=['tight' 'tighter' 'deep' 'deeper'], predicted=unrolled
question=['tight' 'tighter' 'fast' 'faster'], predicted=slower
question=['tight' 'tighter' 'good' 'better'], predicted=quality
question=['tight' 'tighter' 'great' 'greater'], predicted=considerable
question=['tight' 'tighter' 'hard' 'harder'], predicted=slower
question=['tight' 'tighter' 'hot' 'hotter'], predicted=dry
question=['tight' 'tighter' 'long' 'longer'], predicted=short
question=['tight' 'tighter' 'loud' 'louder'], predicted=thunder
question=['tight' 'tighter' 'low' 'lower'], predicted=higher
question=['tight' 'tighter' 'new' 'newer'], predicted=modern
question=['tight' 'tighter' 'old' 'older'], predicted=traditional
question=['tight' 'tighter' 'safe' 'safer'], predicted=risk
question=['tight' 'tighter' 'sharp' 'sharper'], predicted=flat
question=['tight' 'tighter' 'simple' 'simpler'], predicted=simplest
question=['tight' 'tighter' 'small' 'smaller'], predicted=larger
question=['tight' 'tighter' 'smart' 'smarter'], predicted=lifering
question=['tight' 'tighter' 'strong' 'stronger'], predicted=substantial
question=['tough' 'tougher' 'warm' 'warmer'], predicted=temperatures
question=['tough' 'tougher' 'bad' 'worse'], predicted=good
question=['tough' 'tougher' 'big' 'bigger'], predicted=mauldin
question=['tough' 'tougher' 'cold' 'colder'], predicted=temperatures
question=['tough' 'tougher' 'cool' 'cooler'], predicted=temperatures
question=['tough' 'tougher' 'deep' 'deeper'], predicted=decomposing
question=['tough' 'tougher' 'good' 'better'], predicted=vegan
question=['tough' 'tougher' 'great' 'greater'], predicted=abiding
question=['tough' 'tougher' 'hard' 'harder'], predicted=disk
question=['tough' 'tougher' 'heavy' 'heavier'], predicted=metal
question=['tough' 'tougher' 'hot' 'hotter'], predicted=dishes
question=['tough' 'tougher' 'large' 'larger'], predicted=filipinos
question=['tough' 'tougher' 'long' 'longer'], predicted=shorter
question=['tough' 'tougher' 'loud' 'louder'], predicted=formant
question=['tough' 'tougher' 'low' 'lower'], predicted=higher
question=['tough' 'tougher' 'new' 'newer'], predicted=of
question=['tough' 'tougher' 'old' 'older'], predicted=later
question=['tough' 'tougher' 'safe' 'safer'], predicted=permit
question=['tough' 'tougher' 'sharp' 'sharper'], predicted=finnsburg
question=['tough' 'tougher' 'small' 'smaller'], predicted=large
question=['tough' 'tougher' 'smart' 'smarter'], predicted=moulton
question=['tough' 'tougher' 'strong' 'stronger'], predicted=significant
question=['tough' 'tougher' 'tight' 'tighter'], predicted=relaxed
question=['warm' 'warmer' 'weak' 'weaker'], predicted=stronger
question=['warm' 'warmer' 'young' 'younger'], predicted=children
question=['warm' 'warmer' 'bad' 'worse'], predicted=good
question=['warm' 'warmer' 'big' 'bigger'], predicted=biggest
question=['warm' 'warmer' 'cold' 'colder'], predicted=winter
question=['warm' 'warmer' 'deep' 'deeper'], predicted=surface
question=['warm' 'warmer' 'good' 'better'], predicted=bad
question=['warm' 'warmer' 'heavy' 'heavier'], predicted=metal
question=['warm' 'warmer' 'high' 'higher'], predicted=low
question=['warm' 'warmer' 'hot' 'hotter'], predicted=melt
question=['warm' 'warmer' 'long' 'longer'], predicted=short
question=['warm' 'warmer' 'loud' 'louder'], predicted=harmonics
question=['warm' 'warmer' 'low' 'lower'], predicted=high
question=['warm' 'warmer' 'new' 'newer'], predicted=york
question=['warm' 'warmer' 'old' 'older'], predicted=later
question=['warm' 'warmer' 'quick' 'quicker'], predicted=faster
question=['warm' 'warmer' 'safe' 'safer'], predicted=dangerous
question=['warm' 'warmer' 'sharp' 'sharper'], predicted=chord
question=['warm' 'warmer' 'simple' 'simpler'], predicted=complex
question=['warm' 'warmer' 'slow' 'slower'], predicted=faster
question=['warm' 'warmer' 'smart' 'smarter'], predicted=suvs
question=['warm' 'warmer' 'tight' 'tighter'], predicted=tackle
question=['warm' 'warmer' 'tough' 'tougher'], predicted=stronger
question=['weak' 'weaker' 'young' 'younger'], predicted=basketball
question=['weak' 'weaker' 'cold' 'colder'], predicted=warmer
question=['weak' 'weaker' 'deep' 'deeper'], predicted=breaded
question=['weak' 'weaker' 'good' 'better'], predicted=bad
question=['weak' 'weaker' 'hard' 'harder'], predicted=disk
question=['weak' 'weaker' 'heavy' 'heavier'], predicted=lighter
question=['weak' 'weaker' 'long' 'longer'], predicted=short
question=['weak' 'weaker' 'loud' 'louder'], predicted=puppies
question=['weak' 'weaker' 'new' 'newer'], predicted=york
question=['weak' 'weaker' 'old' 'older'], predicted=later
question=['weak' 'weaker' 'quick' 'quicker'], predicted=eventing
question=['weak' 'weaker' 'safe' 'safer'], predicted=frozen
question=['weak' 'weaker' 'sharp' 'sharper'], predicted=stronger
question=['weak' 'weaker' 'simple' 'simpler'], predicted=sort
question=['weak' 'weaker' 'slow' 'slower'], predicted=faster
question=['weak' 'weaker' 'smart' 'smarter'], predicted=dma
question=['weak' 'weaker' 'tight' 'tighter'], predicted=defensive
question=['weak' 'weaker' 'tough' 'tougher'], predicted=eventing
question=['wide' 'wider' 'big' 'bigger'], predicted=bang
question=['wide' 'wider' 'cold' 'colder'], predicted=warm
question=['wide' 'wider' 'cool' 'cooler'], predicted=warm
question=['wide' 'wider' 'fast' 'faster'], predicted=slower
question=['wide' 'wider' 'good' 'better'], predicted=bad
question=['wide' 'wider' 'heavy' 'heavier'], predicted=metal
question=['wide' 'wider' 'long' 'longer'], predicted=much
question=['wide' 'wider' 'loud' 'louder'], predicted=singing
question=['wide' 'wider' 'low' 'lower'], predicted=higher
question=['wide' 'wider' 'new' 'newer'], predicted=york
question=['wide' 'wider' 'quick' 'quicker'], predicted=peaceful
question=['wide' 'wider' 'sharp' 'sharper'], predicted=softer
question=['wide' 'wider' 'small' 'smaller'], predicted=larger
question=['wide' 'wider' 'smart' 'smarter'], predicted=cliath
question=['wide' 'wider' 'strong' 'stronger'], predicted=weak
question=['wide' 'wider' 'tight' 'tighter'], predicted=softer
question=['wide' 'wider' 'tough' 'tougher'], predicted=stronger
question=['wide' 'wider' 'weak' 'weaker'], predicted=stronger
question=['young' 'younger' 'bad' 'worse'], predicted=good
question=['young' 'younger' 'big' 'bigger'], predicted=bang
question=['young' 'younger' 'cold' 'colder'], predicted=dryas
question=['young' 'younger' 'cool' 'cooler'], predicted=summers
question=['young' 'younger' 'deep' 'deeper'], predicted=beneath
question=['young' 'younger' 'fast' 'faster'], predicted=slower
question=['young' 'younger' 'good' 'better'], predicted=bad
question=['young' 'younger' 'great' 'greater'], predicted=brother
question=['young' 'younger' 'hard' 'harder'], predicted=drives
question=['young' 'younger' 'heavy' 'heavier'], predicted=metal
question=['young' 'younger' 'high' 'higher'], predicted=low
question=['young' 'younger' 'hot' 'hotter'], predicted=humid
question=['young' 'younger' 'long' 'longer'], predicted=short
question=['young' 'younger' 'loud' 'louder'], predicted=heard
question=['young' 'younger' 'new' 'newer'], predicted=brother
question=['young' 'younger' 'quick' 'quicker'], predicted=latest
question=['young' 'younger' 'safe' 'safer'], predicted=elder
question=['young' 'younger' 'sharp' 'sharper'], predicted=openoffice
question=['young' 'younger' 'short' 'shorter'], predicted=half
question=['young' 'younger' 'simple' 'simpler'], predicted=somewhat
question=['young' 'younger' 'smart' 'smarter'], predicted=newer
question=['young' 'younger' 'strong' 'stronger'], predicted=aristobulus
question=['young' 'younger' 'tight' 'tighter'], predicted=aristobulus
question=['young' 'younger' 'tough' 'tougher'], predicted=aristobulus
question=['young' 'younger' 'warm' 'warmer'], predicted=humid
question=['young' 'younger' 'weak' 'weaker'], predicted=aristobulus
