question=['albania' 'albanian' 'australia' 'australian'], predicted=australian
question=['germany' 'german' 'macedonia' 'macedonian'], predicted=macedonian
question=['germany' 'german' 'malta' 'maltese'], predicted=maltese
question=['germany' 'german' 'mexico' 'mexican'], predicted=mexican
question=['germany' 'german' 'netherlands' 'dutch'], predicted=dutch
question=['germany' 'german' 'norway' 'norwegian'], predicted=norwegian
question=['germany' 'german' 'poland' 'polish'], predicted=polish
question=['germany' 'german' 'portugal' 'portuguese'], predicted=portuguese
question=['germany' 'german' 'russia' 'russian'], predicted=russian
question=['germany' 'german' 'spain' 'spanish'], predicted=spanish
question=['germany' 'german' 'sweden' 'swedish'], predicted=swedish
question=['germany' 'german' 'switzerland' 'swiss'], predicted=swiss
question=['germany' 'german' 'albania' 'albanian'], predicted=albanian
question=['germany' 'german' 'australia' 'australian'], predicted=australian
question=['germany' 'german' 'austria' 'austrian'], predicted=austrian
question=['germany' 'german' 'brazil' 'brazilian'], predicted=brazilian
question=['germany' 'german' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['germany' 'german' 'china' 'chinese'], predicted=chinese
question=['germany' 'german' 'croatia' 'croatian'], predicted=croatian
question=['germany' 'german' 'denmark' 'danish'], predicted=danish
question=['germany' 'german' 'egypt' 'egyptian'], predicted=egyptian
question=['germany' 'german' 'england' 'english'], predicted=english
question=['greece' 'greek' 'iceland' 'icelandic'], predicted=icelandic
question=['greece' 'greek' 'india' 'indian'], predicted=indian
question=['greece' 'greek' 'ireland' 'irish'], predicted=irish
question=['greece' 'greek' 'italy' 'italian'], predicted=italian
question=['greece' 'greek' 'japan' 'japanese'], predicted=japanese
question=['greece' 'greek' 'korea' 'korean'], predicted=korean
question=['greece' 'greek' 'macedonia' 'macedonian'], predicted=macedonian
question=['greece' 'greek' 'malta' 'maltese'], predicted=maltese
question=['greece' 'greek' 'mexico' 'mexican'], predicted=mexican
question=['greece' 'greek' 'netherlands' 'dutch'], predicted=dutch
question=['greece' 'greek' 'norway' 'norwegian'], predicted=norwegian
question=['greece' 'greek' 'peru' 'peruvian'], predicted=peruvian
question=['greece' 'greek' 'poland' 'polish'], predicted=polish
question=['greece' 'greek' 'portugal' 'portuguese'], predicted=portuguese
question=['greece' 'greek' 'russia' 'russian'], predicted=russian
question=['greece' 'greek' 'spain' 'spanish'], predicted=spanish
question=['greece' 'greek' 'sweden' 'swedish'], predicted=swedish
question=['greece' 'greek' 'switzerland' 'swiss'], predicted=swiss
question=['greece' 'greek' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['greece' 'greek' 'albania' 'albanian'], predicted=albanian
question=['greece' 'greek' 'australia' 'australian'], predicted=australian
question=['greece' 'greek' 'brazil' 'brazilian'], predicted=brazilian
question=['greece' 'greek' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['greece' 'greek' 'chile' 'chilean'], predicted=chilean
question=['greece' 'greek' 'china' 'chinese'], predicted=chinese
question=['greece' 'greek' 'croatia' 'croatian'], predicted=croatian
question=['greece' 'greek' 'denmark' 'danish'], predicted=danish
question=['greece' 'greek' 'egypt' 'egyptian'], predicted=egyptian
question=['greece' 'greek' 'england' 'english'], predicted=english
question=['greece' 'greek' 'france' 'french'], predicted=french
question=['iceland' 'icelandic' 'india' 'indian'], predicted=indian
question=['iceland' 'icelandic' 'ireland' 'irish'], predicted=irish
question=['iceland' 'icelandic' 'israel' 'israeli'], predicted=israeli
question=['iceland' 'icelandic' 'italy' 'italian'], predicted=italian
question=['iceland' 'icelandic' 'japan' 'japanese'], predicted=japanese
question=['iceland' 'icelandic' 'korea' 'korean'], predicted=korean
question=['iceland' 'icelandic' 'macedonia' 'macedonian'], predicted=macedonian
question=['iceland' 'icelandic' 'malta' 'maltese'], predicted=maltese
question=['iceland' 'icelandic' 'mexico' 'mexican'], predicted=mexican
question=['iceland' 'icelandic' 'netherlands' 'dutch'], predicted=dutch
question=['iceland' 'icelandic' 'norway' 'norwegian'], predicted=norwegian
question=['iceland' 'icelandic' 'poland' 'polish'], predicted=polish
question=['iceland' 'icelandic' 'portugal' 'portuguese'], predicted=portuguese
question=['iceland' 'icelandic' 'russia' 'russian'], predicted=russian
question=['iceland' 'icelandic' 'spain' 'spanish'], predicted=spanish
question=['iceland' 'icelandic' 'sweden' 'swedish'], predicted=swedish
question=['iceland' 'icelandic' 'switzerland' 'swiss'], predicted=swiss
question=['iceland' 'icelandic' 'thailand' 'thai'], predicted=thai
question=['iceland' 'icelandic' 'albania' 'albanian'], predicted=albanian
question=['iceland' 'icelandic' 'australia' 'australian'], predicted=australian
question=['iceland' 'icelandic' 'brazil' 'brazilian'], predicted=brazilian
question=['iceland' 'icelandic' 'china' 'chinese'], predicted=chinese
question=['iceland' 'icelandic' 'colombia' 'colombian'], predicted=colombian
question=['iceland' 'icelandic' 'croatia' 'croatian'], predicted=croatian
question=['iceland' 'icelandic' 'denmark' 'danish'], predicted=danish
question=['iceland' 'icelandic' 'egypt' 'egyptian'], predicted=egyptian
question=['iceland' 'icelandic' 'england' 'english'], predicted=english
question=['iceland' 'icelandic' 'france' 'french'], predicted=french
question=['iceland' 'icelandic' 'germany' 'german'], predicted=german
question=['india' 'indian' 'ireland' 'irish'], predicted=irish
question=['india' 'indian' 'israel' 'israeli'], predicted=israeli
question=['india' 'indian' 'italy' 'italian'], predicted=italian
question=['india' 'indian' 'japan' 'japanese'], predicted=japanese
question=['india' 'indian' 'korea' 'korean'], predicted=korean
question=['india' 'indian' 'mexico' 'mexican'], predicted=mexican
question=['india' 'indian' 'netherlands' 'dutch'], predicted=dutch
question=['india' 'indian' 'norway' 'norwegian'], predicted=norwegian
question=['india' 'indian' 'peru' 'peruvian'], predicted=peruvian
question=['india' 'indian' 'poland' 'polish'], predicted=polish
question=['india' 'indian' 'portugal' 'portuguese'], predicted=portuguese
question=['india' 'indian' 'russia' 'russian'], predicted=russian
question=['india' 'indian' 'spain' 'spanish'], predicted=spanish
question=['india' 'indian' 'sweden' 'swedish'], predicted=swedish
question=['india' 'indian' 'switzerland' 'swiss'], predicted=swiss
question=['india' 'indian' 'thailand' 'thai'], predicted=thai
question=['india' 'indian' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['india' 'indian' 'albania' 'albanian'], predicted=albanian
question=['india' 'indian' 'australia' 'australian'], predicted=australian
question=['india' 'indian' 'austria' 'austrian'], predicted=austrian
question=['india' 'indian' 'brazil' 'brazilian'], predicted=brazilian
question=['india' 'indian' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['india' 'indian' 'chile' 'chilean'], predicted=chilean
question=['india' 'indian' 'china' 'chinese'], predicted=chinese
question=['india' 'indian' 'croatia' 'croatian'], predicted=croatian
question=['india' 'indian' 'denmark' 'danish'], predicted=danish
question=['india' 'indian' 'egypt' 'egyptian'], predicted=egyptian
question=['india' 'indian' 'france' 'french'], predicted=french
question=['india' 'indian' 'germany' 'german'], predicted=german
question=['india' 'indian' 'greece' 'greek'], predicted=greek
question=['ireland' 'irish' 'israel' 'israeli'], predicted=israeli
question=['ireland' 'irish' 'italy' 'italian'], predicted=italian
question=['ireland' 'irish' 'japan' 'japanese'], predicted=japanese
question=['ireland' 'irish' 'korea' 'korean'], predicted=korean
question=['ireland' 'irish' 'malta' 'maltese'], predicted=maltese
question=['ireland' 'irish' 'mexico' 'mexican'], predicted=mexican
question=['ireland' 'irish' 'netherlands' 'dutch'], predicted=dutch
question=['ireland' 'irish' 'norway' 'norwegian'], predicted=norwegian
question=['ireland' 'irish' 'peru' 'peruvian'], predicted=peruvian
question=['ireland' 'irish' 'poland' 'polish'], predicted=polish
question=['ireland' 'irish' 'portugal' 'portuguese'], predicted=portuguese
question=['ireland' 'irish' 'russia' 'russian'], predicted=russian
question=['ireland' 'irish' 'spain' 'spanish'], predicted=spanish
question=['ireland' 'irish' 'sweden' 'swedish'], predicted=swedish
question=['ireland' 'irish' 'switzerland' 'swiss'], predicted=swiss
question=['ireland' 'irish' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['ireland' 'irish' 'albania' 'albanian'], predicted=albanian
question=['ireland' 'irish' 'australia' 'australian'], predicted=australian
question=['ireland' 'irish' 'austria' 'austrian'], predicted=austrian
question=['ireland' 'irish' 'brazil' 'brazilian'], predicted=brazilian
question=['ireland' 'irish' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['ireland' 'irish' 'cambodia' 'cambodian'], predicted=cambodian
question=['ireland' 'irish' 'chile' 'chilean'], predicted=chilean
question=['ireland' 'irish' 'china' 'chinese'], predicted=chinese
question=['ireland' 'irish' 'colombia' 'colombian'], predicted=colombian
question=['ireland' 'irish' 'croatia' 'croatian'], predicted=croatian
question=['ireland' 'irish' 'denmark' 'danish'], predicted=danish
question=['ireland' 'irish' 'egypt' 'egyptian'], predicted=egyptian
question=['ireland' 'irish' 'england' 'english'], predicted=english
question=['ireland' 'irish' 'france' 'french'], predicted=french
question=['ireland' 'irish' 'germany' 'german'], predicted=german
question=['ireland' 'irish' 'greece' 'greek'], predicted=greek
question=['ireland' 'irish' 'iceland' 'icelandic'], predicted=icelandic
question=['israel' 'israeli' 'italy' 'italian'], predicted=italian
question=['israel' 'israeli' 'japan' 'japanese'], predicted=japanese
question=['israel' 'israeli' 'korea' 'korean'], predicted=korean
question=['israel' 'israeli' 'mexico' 'mexican'], predicted=mexican
question=['israel' 'israeli' 'netherlands' 'dutch'], predicted=dutch
question=['israel' 'israeli' 'norway' 'norwegian'], predicted=norwegian
question=['israel' 'israeli' 'peru' 'peruvian'], predicted=peruvian
question=['israel' 'israeli' 'poland' 'polish'], predicted=polish
question=['israel' 'israeli' 'portugal' 'portuguese'], predicted=portuguese
question=['israel' 'israeli' 'russia' 'russian'], predicted=russian
question=['israel' 'israeli' 'spain' 'spanish'], predicted=spanish
question=['israel' 'israeli' 'sweden' 'swedish'], predicted=swedish
question=['israel' 'israeli' 'switzerland' 'swiss'], predicted=swiss
question=['israel' 'israeli' 'albania' 'albanian'], predicted=albanian
question=['israel' 'israeli' 'australia' 'australian'], predicted=australian
question=['israel' 'israeli' 'austria' 'austrian'], predicted=austrian
question=['israel' 'israeli' 'brazil' 'brazilian'], predicted=brazilian
question=['israel' 'israeli' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['israel' 'israeli' 'china' 'chinese'], predicted=chinese
question=['israel' 'israeli' 'croatia' 'croatian'], predicted=croatian
question=['israel' 'israeli' 'denmark' 'danish'], predicted=danish
question=['israel' 'israeli' 'egypt' 'egyptian'], predicted=egyptian
question=['israel' 'israeli' 'france' 'french'], predicted=french
question=['israel' 'israeli' 'germany' 'german'], predicted=german
question=['israel' 'israeli' 'greece' 'greek'], predicted=greek
question=['israel' 'israeli' 'iceland' 'icelandic'], predicted=icelandic
question=['israel' 'israeli' 'india' 'indian'], predicted=indian
question=['italy' 'italian' 'japan' 'japanese'], predicted=japanese
question=['italy' 'italian' 'korea' 'korean'], predicted=korean
question=['italy' 'italian' 'malta' 'maltese'], predicted=maltese
question=['italy' 'italian' 'mexico' 'mexican'], predicted=mexican
question=['italy' 'italian' 'netherlands' 'dutch'], predicted=dutch
question=['italy' 'italian' 'norway' 'norwegian'], predicted=norwegian
question=['italy' 'italian' 'peru' 'peruvian'], predicted=peruvian
question=['italy' 'italian' 'poland' 'polish'], predicted=polish
question=['italy' 'italian' 'portugal' 'portuguese'], predicted=portuguese
question=['italy' 'italian' 'russia' 'russian'], predicted=russian
question=['italy' 'italian' 'spain' 'spanish'], predicted=spanish
question=['italy' 'italian' 'sweden' 'swedish'], predicted=swedish
question=['italy' 'italian' 'switzerland' 'swiss'], predicted=swiss
question=['italy' 'italian' 'albania' 'albanian'], predicted=albanian
question=['italy' 'italian' 'australia' 'australian'], predicted=australian
question=['italy' 'italian' 'brazil' 'brazilian'], predicted=brazilian
question=['italy' 'italian' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['italy' 'italian' 'chile' 'chilean'], predicted=chilean
question=['italy' 'italian' 'china' 'chinese'], predicted=chinese
question=['italy' 'italian' 'colombia' 'colombian'], predicted=colombian
question=['italy' 'italian' 'croatia' 'croatian'], predicted=croatian
question=['italy' 'italian' 'egypt' 'egyptian'], predicted=egyptian
question=['italy' 'italian' 'france' 'french'], predicted=french
question=['italy' 'italian' 'germany' 'german'], predicted=german
question=['italy' 'italian' 'greece' 'greek'], predicted=greek
question=['italy' 'italian' 'iceland' 'icelandic'], predicted=icelandic
question=['italy' 'italian' 'india' 'indian'], predicted=indian
question=['italy' 'italian' 'ireland' 'irish'], predicted=irish
question=['japan' 'japanese' 'korea' 'korean'], predicted=korean
question=['japan' 'japanese' 'macedonia' 'macedonian'], predicted=macedonian
question=['japan' 'japanese' 'malta' 'maltese'], predicted=maltese
question=['japan' 'japanese' 'mexico' 'mexican'], predicted=mexican
question=['japan' 'japanese' 'netherlands' 'dutch'], predicted=dutch
question=['japan' 'japanese' 'norway' 'norwegian'], predicted=norwegian
question=['japan' 'japanese' 'peru' 'peruvian'], predicted=peruvian
question=['japan' 'japanese' 'poland' 'polish'], predicted=polish
question=['japan' 'japanese' 'portugal' 'portuguese'], predicted=portuguese
question=['japan' 'japanese' 'russia' 'russian'], predicted=russian
question=['japan' 'japanese' 'spain' 'spanish'], predicted=spanish
question=['japan' 'japanese' 'sweden' 'swedish'], predicted=swedish
question=['japan' 'japanese' 'switzerland' 'swiss'], predicted=swiss
question=['japan' 'japanese' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['japan' 'japanese' 'albania' 'albanian'], predicted=albanian
question=['japan' 'japanese' 'australia' 'australian'], predicted=australian
question=['japan' 'japanese' 'brazil' 'brazilian'], predicted=brazilian
question=['japan' 'japanese' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['japan' 'japanese' 'chile' 'chilean'], predicted=chilean
question=['japan' 'japanese' 'china' 'chinese'], predicted=chinese
question=['japan' 'japanese' 'colombia' 'colombian'], predicted=colombian
question=['japan' 'japanese' 'croatia' 'croatian'], predicted=croatian
question=['japan' 'japanese' 'denmark' 'danish'], predicted=danish
question=['japan' 'japanese' 'egypt' 'egyptian'], predicted=egyptian
question=['japan' 'japanese' 'france' 'french'], predicted=french
question=['japan' 'japanese' 'germany' 'german'], predicted=german
question=['japan' 'japanese' 'greece' 'greek'], predicted=greek
question=['japan' 'japanese' 'iceland' 'icelandic'], predicted=icelandic
question=['japan' 'japanese' 'india' 'indian'], predicted=indian
question=['japan' 'japanese' 'ireland' 'irish'], predicted=irish
question=['japan' 'japanese' 'israel' 'israeli'], predicted=israeli
question=['korea' 'korean' 'macedonia' 'macedonian'], predicted=macedonian
question=['korea' 'korean' 'malta' 'maltese'], predicted=maltese
question=['korea' 'korean' 'mexico' 'mexican'], predicted=mexican
question=['korea' 'korean' 'netherlands' 'dutch'], predicted=dutch
question=['korea' 'korean' 'norway' 'norwegian'], predicted=norwegian
question=['korea' 'korean' 'peru' 'peruvian'], predicted=peruvian
question=['korea' 'korean' 'poland' 'polish'], predicted=polish
question=['korea' 'korean' 'portugal' 'portuguese'], predicted=portuguese
question=['korea' 'korean' 'russia' 'russian'], predicted=russian
question=['korea' 'korean' 'spain' 'spanish'], predicted=spanish
question=['korea' 'korean' 'sweden' 'swedish'], predicted=swedish
question=['korea' 'korean' 'switzerland' 'swiss'], predicted=swiss
question=['korea' 'korean' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['korea' 'korean' 'albania' 'albanian'], predicted=albanian
question=['korea' 'korean' 'australia' 'australian'], predicted=australian
question=['korea' 'korean' 'austria' 'austrian'], predicted=austrian
question=['korea' 'korean' 'brazil' 'brazilian'], predicted=brazilian
question=['korea' 'korean' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['korea' 'korean' 'china' 'chinese'], predicted=chinese
question=['korea' 'korean' 'colombia' 'colombian'], predicted=colombian
question=['korea' 'korean' 'croatia' 'croatian'], predicted=croatian
question=['korea' 'korean' 'denmark' 'danish'], predicted=danish
question=['korea' 'korean' 'egypt' 'egyptian'], predicted=egyptian
question=['korea' 'korean' 'france' 'french'], predicted=french
question=['korea' 'korean' 'germany' 'german'], predicted=german
question=['korea' 'korean' 'greece' 'greek'], predicted=greek
question=['korea' 'korean' 'iceland' 'icelandic'], predicted=icelandic
question=['korea' 'korean' 'india' 'indian'], predicted=indian
question=['korea' 'korean' 'ireland' 'irish'], predicted=irish
question=['korea' 'korean' 'israel' 'israeli'], predicted=israeli
question=['korea' 'korean' 'italy' 'italian'], predicted=italian
question=['macedonia' 'macedonian' 'malta' 'maltese'], predicted=maltese
question=['macedonia' 'macedonian' 'mexico' 'mexican'], predicted=mexican
question=['macedonia' 'macedonian' 'netherlands' 'dutch'], predicted=dutch
question=['macedonia' 'macedonian' 'norway' 'norwegian'], predicted=norwegian
question=['macedonia' 'macedonian' 'poland' 'polish'], predicted=polish
question=['macedonia' 'macedonian' 'portugal' 'portuguese'], predicted=portuguese
question=['macedonia' 'macedonian' 'russia' 'russian'], predicted=russian
question=['macedonia' 'macedonian' 'spain' 'spanish'], predicted=spanish
question=['macedonia' 'macedonian' 'sweden' 'swedish'], predicted=swedish
question=['macedonia' 'macedonian' 'switzerland' 'swiss'], predicted=swiss
question=['macedonia' 'macedonian' 'thailand' 'thai'], predicted=thai
question=['macedonia' 'macedonian' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['macedonia' 'macedonian' 'albania' 'albanian'], predicted=albanian
question=['macedonia' 'macedonian' 'australia' 'australian'], predicted=australian
question=['macedonia' 'macedonian' 'brazil' 'brazilian'], predicted=brazilian
question=['macedonia' 'macedonian' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['macedonia' 'macedonian' 'chile' 'chilean'], predicted=chilean
question=['macedonia' 'macedonian' 'china' 'chinese'], predicted=chinese
question=['macedonia' 'macedonian' 'croatia' 'croatian'], predicted=croatian
question=['macedonia' 'macedonian' 'denmark' 'danish'], predicted=danish
question=['macedonia' 'macedonian' 'egypt' 'egyptian'], predicted=egyptian
question=['macedonia' 'macedonian' 'france' 'french'], predicted=french
question=['macedonia' 'macedonian' 'germany' 'german'], predicted=german
question=['macedonia' 'macedonian' 'greece' 'greek'], predicted=greek
question=['macedonia' 'macedonian' 'iceland' 'icelandic'], predicted=icelandic
question=['macedonia' 'macedonian' 'india' 'indian'], predicted=indian
question=['macedonia' 'macedonian' 'ireland' 'irish'], predicted=irish
question=['macedonia' 'macedonian' 'israel' 'israeli'], predicted=israeli
question=['macedonia' 'macedonian' 'italy' 'italian'], predicted=italian
question=['macedonia' 'macedonian' 'japan' 'japanese'], predicted=japanese
question=['malta' 'maltese' 'mexico' 'mexican'], predicted=mexican
question=['malta' 'maltese' 'netherlands' 'dutch'], predicted=dutch
question=['malta' 'maltese' 'norway' 'norwegian'], predicted=norwegian
question=['malta' 'maltese' 'peru' 'peruvian'], predicted=peruvian
question=['malta' 'maltese' 'poland' 'polish'], predicted=polish
question=['malta' 'maltese' 'portugal' 'portuguese'], predicted=portuguese
question=['malta' 'maltese' 'russia' 'russian'], predicted=russian
question=['malta' 'maltese' 'spain' 'spanish'], predicted=spanish
question=['malta' 'maltese' 'sweden' 'swedish'], predicted=swedish
question=['malta' 'maltese' 'switzerland' 'swiss'], predicted=swiss
question=['malta' 'maltese' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['malta' 'maltese' 'albania' 'albanian'], predicted=albanian
question=['malta' 'maltese' 'australia' 'australian'], predicted=australian
question=['malta' 'maltese' 'brazil' 'brazilian'], predicted=brazilian
question=['malta' 'maltese' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['malta' 'maltese' 'chile' 'chilean'], predicted=chilean
question=['malta' 'maltese' 'china' 'chinese'], predicted=chinese
question=['malta' 'maltese' 'croatia' 'croatian'], predicted=croatian
question=['malta' 'maltese' 'denmark' 'danish'], predicted=danish
question=['malta' 'maltese' 'egypt' 'egyptian'], predicted=egyptian
question=['malta' 'maltese' 'france' 'french'], predicted=french
question=['malta' 'maltese' 'germany' 'german'], predicted=german
question=['malta' 'maltese' 'greece' 'greek'], predicted=greek
question=['malta' 'maltese' 'iceland' 'icelandic'], predicted=icelandic
question=['malta' 'maltese' 'ireland' 'irish'], predicted=irish
question=['malta' 'maltese' 'israel' 'israeli'], predicted=israeli
question=['malta' 'maltese' 'italy' 'italian'], predicted=italian
question=['malta' 'maltese' 'japan' 'japanese'], predicted=japanese
question=['malta' 'maltese' 'korea' 'korean'], predicted=korean
question=['mexico' 'mexican' 'netherlands' 'dutch'], predicted=dutch
question=['mexico' 'mexican' 'norway' 'norwegian'], predicted=norwegian
question=['mexico' 'mexican' 'peru' 'peruvian'], predicted=peruvian
question=['mexico' 'mexican' 'poland' 'polish'], predicted=polish
question=['mexico' 'mexican' 'portugal' 'portuguese'], predicted=portuguese
question=['mexico' 'mexican' 'russia' 'russian'], predicted=russian
question=['mexico' 'mexican' 'spain' 'spanish'], predicted=spanish
question=['mexico' 'mexican' 'sweden' 'swedish'], predicted=swedish
question=['mexico' 'mexican' 'switzerland' 'swiss'], predicted=swiss
question=['mexico' 'mexican' 'albania' 'albanian'], predicted=albanian
question=['mexico' 'mexican' 'australia' 'australian'], predicted=australian
question=['mexico' 'mexican' 'austria' 'austrian'], predicted=austrian
question=['mexico' 'mexican' 'brazil' 'brazilian'], predicted=brazilian
question=['mexico' 'mexican' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['mexico' 'mexican' 'cambodia' 'cambodian'], predicted=cambodian
question=['mexico' 'mexican' 'chile' 'chilean'], predicted=chilean
question=['mexico' 'mexican' 'china' 'chinese'], predicted=chinese
question=['mexico' 'mexican' 'colombia' 'colombian'], predicted=colombian
question=['mexico' 'mexican' 'croatia' 'croatian'], predicted=croatian
question=['mexico' 'mexican' 'denmark' 'danish'], predicted=danish
question=['mexico' 'mexican' 'egypt' 'egyptian'], predicted=egyptian
question=['mexico' 'mexican' 'france' 'french'], predicted=french
question=['mexico' 'mexican' 'germany' 'german'], predicted=german
question=['mexico' 'mexican' 'greece' 'greek'], predicted=greek
question=['mexico' 'mexican' 'iceland' 'icelandic'], predicted=icelandic
question=['mexico' 'mexican' 'india' 'indian'], predicted=indian
question=['mexico' 'mexican' 'ireland' 'irish'], predicted=irish
question=['mexico' 'mexican' 'israel' 'israeli'], predicted=israeli
question=['mexico' 'mexican' 'italy' 'italian'], predicted=italian
question=['mexico' 'mexican' 'japan' 'japanese'], predicted=japanese
question=['mexico' 'mexican' 'korea' 'korean'], predicted=korean
question=['moldova' 'moldovan' 'netherlands' 'dutch'], predicted=dutch
question=['moldova' 'moldovan' 'norway' 'norwegian'], predicted=norwegian
question=['moldova' 'moldovan' 'poland' 'polish'], predicted=polish
question=['moldova' 'moldovan' 'portugal' 'portuguese'], predicted=portuguese
question=['moldova' 'moldovan' 'russia' 'russian'], predicted=russian
question=['moldova' 'moldovan' 'spain' 'spanish'], predicted=spanish
question=['moldova' 'moldovan' 'sweden' 'swedish'], predicted=swedish
question=['moldova' 'moldovan' 'switzerland' 'swiss'], predicted=swiss
question=['moldova' 'moldovan' 'albania' 'albanian'], predicted=albanian
question=['moldova' 'moldovan' 'australia' 'australian'], predicted=australian
question=['moldova' 'moldovan' 'brazil' 'brazilian'], predicted=brazilian
question=['moldova' 'moldovan' 'chile' 'chilean'], predicted=chilean
question=['moldova' 'moldovan' 'china' 'chinese'], predicted=chinese
question=['moldova' 'moldovan' 'croatia' 'croatian'], predicted=croatian
question=['moldova' 'moldovan' 'denmark' 'danish'], predicted=danish
question=['moldova' 'moldovan' 'egypt' 'egyptian'], predicted=egyptian
question=['moldova' 'moldovan' 'france' 'french'], predicted=french
question=['moldova' 'moldovan' 'germany' 'german'], predicted=german
question=['moldova' 'moldovan' 'iceland' 'icelandic'], predicted=icelandic
question=['moldova' 'moldovan' 'israel' 'israeli'], predicted=israeli
question=['moldova' 'moldovan' 'italy' 'italian'], predicted=italian
question=['moldova' 'moldovan' 'japan' 'japanese'], predicted=japanese
question=['moldova' 'moldovan' 'korea' 'korean'], predicted=korean
question=['moldova' 'moldovan' 'macedonia' 'macedonian'], predicted=macedonian
question=['netherlands' 'dutch' 'norway' 'norwegian'], predicted=norwegian
question=['netherlands' 'dutch' 'peru' 'peruvian'], predicted=peruvian
question=['netherlands' 'dutch' 'poland' 'polish'], predicted=polish
question=['netherlands' 'dutch' 'portugal' 'portuguese'], predicted=portuguese
question=['netherlands' 'dutch' 'russia' 'russian'], predicted=russian
question=['netherlands' 'dutch' 'spain' 'spanish'], predicted=spanish
question=['netherlands' 'dutch' 'sweden' 'swedish'], predicted=swedish
question=['netherlands' 'dutch' 'switzerland' 'swiss'], predicted=swiss
question=['netherlands' 'dutch' 'albania' 'albanian'], predicted=albanian
question=['netherlands' 'dutch' 'australia' 'australian'], predicted=australian
question=['netherlands' 'dutch' 'austria' 'austrian'], predicted=austrian
question=['netherlands' 'dutch' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['netherlands' 'dutch' 'china' 'chinese'], predicted=chinese
question=['netherlands' 'dutch' 'colombia' 'colombian'], predicted=colombian
question=['netherlands' 'dutch' 'croatia' 'croatian'], predicted=croatian
question=['netherlands' 'dutch' 'denmark' 'danish'], predicted=danish
question=['netherlands' 'dutch' 'egypt' 'egyptian'], predicted=egyptian
question=['netherlands' 'dutch' 'england' 'english'], predicted=english
question=['netherlands' 'dutch' 'france' 'french'], predicted=french
question=['netherlands' 'dutch' 'germany' 'german'], predicted=german
question=['netherlands' 'dutch' 'greece' 'greek'], predicted=greek
question=['netherlands' 'dutch' 'iceland' 'icelandic'], predicted=icelandic
question=['netherlands' 'dutch' 'india' 'indian'], predicted=indian
question=['netherlands' 'dutch' 'ireland' 'irish'], predicted=irish
question=['netherlands' 'dutch' 'israel' 'israeli'], predicted=israeli
question=['netherlands' 'dutch' 'italy' 'italian'], predicted=italian
question=['netherlands' 'dutch' 'japan' 'japanese'], predicted=japanese
question=['netherlands' 'dutch' 'korea' 'korean'], predicted=korean
question=['netherlands' 'dutch' 'macedonia' 'macedonian'], predicted=macedonian
question=['netherlands' 'dutch' 'malta' 'maltese'], predicted=maltese
question=['netherlands' 'dutch' 'mexico' 'mexican'], predicted=mexican
question=['norway' 'norwegian' 'peru' 'peruvian'], predicted=peruvian
question=['norway' 'norwegian' 'poland' 'polish'], predicted=polish
question=['norway' 'norwegian' 'portugal' 'portuguese'], predicted=portuguese
question=['norway' 'norwegian' 'russia' 'russian'], predicted=russian
question=['norway' 'norwegian' 'spain' 'spanish'], predicted=spanish
question=['norway' 'norwegian' 'sweden' 'swedish'], predicted=swedish
question=['norway' 'norwegian' 'switzerland' 'swiss'], predicted=swiss
question=['norway' 'norwegian' 'albania' 'albanian'], predicted=albanian
question=['norway' 'norwegian' 'australia' 'australian'], predicted=australian
question=['norway' 'norwegian' 'austria' 'austrian'], predicted=austrian
question=['norway' 'norwegian' 'brazil' 'brazilian'], predicted=brazilian
question=['norway' 'norwegian' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['norway' 'norwegian' 'china' 'chinese'], predicted=chinese
question=['norway' 'norwegian' 'colombia' 'colombian'], predicted=colombian
question=['norway' 'norwegian' 'croatia' 'croatian'], predicted=croatian
question=['norway' 'norwegian' 'denmark' 'danish'], predicted=danish
question=['norway' 'norwegian' 'egypt' 'egyptian'], predicted=egyptian
question=['norway' 'norwegian' 'england' 'english'], predicted=english
question=['norway' 'norwegian' 'france' 'french'], predicted=french
question=['norway' 'norwegian' 'germany' 'german'], predicted=german
question=['norway' 'norwegian' 'greece' 'greek'], predicted=greek
question=['norway' 'norwegian' 'iceland' 'icelandic'], predicted=icelandic
question=['norway' 'norwegian' 'india' 'indian'], predicted=indian
question=['norway' 'norwegian' 'ireland' 'irish'], predicted=irish
