question=['bad' 'worst' 'big' 'biggest'], predicted=bang
question=['quick' 'quickest' 'big' 'biggest'], predicted=bang
question=['quick' 'quickest' 'bright' 'brightest'], predicted=malts
question=['quick' 'quickest' 'cold' 'coldest'], predicted=winters
question=['quick' 'quickest' 'cool' 'coolest'], predicted=dry
question=['quick' 'quickest' 'dark' 'darkest'], predicted=kult
question=['quick' 'quickest' 'easy' 'easiest'], predicted=possible
question=['quick' 'quickest' 'fast' 'fastest'], predicted=speed
question=['quick' 'quickest' 'good' 'best'], predicted=bad
question=['quick' 'quickest' 'hot' 'hottest'], predicted=dry
question=['quick' 'quickest' 'large' 'largest'], predicted=small
question=['quick' 'quickest' 'long' 'longest'], predicted=around
question=['quick' 'quickest' 'lucky' 'luckiest'], predicted=whispers
question=['quick' 'quickest' 'old' 'oldest'], predicted=norse
question=['sharp' 'sharpest' 'simple' 'simplest'], predicted=automated
question=['sharp' 'sharpest' 'short' 'shortest'], predicted=only
question=['sharp' 'sharpest' 'slow' 'slowest'], predicted=improving
question=['sharp' 'sharpest' 'small' 'smallest'], predicted=only
question=['sharp' 'sharpest' 'smart' 'smartest'], predicted=dumb
question=['sharp' 'sharpest' 'strange' 'strangest'], predicted=glistening
question=['sharp' 'sharpest' 'strong' 'strongest'], predicted=widest
question=['sharp' 'sharpest' 'sweet' 'sweetest'], predicted=glistening
question=['sharp' 'sharpest' 'tall' 'tallest'], predicted=mosque
question=['sharp' 'sharpest' 'warm' 'warmest'], predicted=dry
question=['sharp' 'sharpest' 'weak' 'weakest'], predicted=obligatory
question=['sharp' 'sharpest' 'young' 'youngest'], predicted=women
question=['sharp' 'sharpest' 'bad' 'worst'], predicted=good
question=['sharp' 'sharpest' 'big' 'biggest'], predicted=kinks
question=['sharp' 'sharpest' 'bright' 'brightest'], predicted=brightness
question=['sharp' 'sharpest' 'cold' 'coldest'], predicted=hot
question=['sharp' 'sharpest' 'cool' 'coolest'], predicted=reshaped
question=['sharp' 'sharpest' 'dark' 'darkest'], predicted=matter
question=['sharp' 'sharpest' 'easy' 'easiest'], predicted=accessible
question=['sharp' 'sharpest' 'fast' 'fastest'], predicted=paced
question=['sharp' 'sharpest' 'good' 'best'], predicted=bad
question=['sharp' 'sharpest' 'great' 'greatest'], predicted=enormous
question=['sharp' 'sharpest' 'high' 'highest'], predicted=low
question=['sharp' 'sharpest' 'hot' 'hottest'], predicted=circumnavigate
question=['sharp' 'sharpest' 'large' 'largest'], predicted=small
question=['sharp' 'sharpest' 'long' 'longest'], predicted=only
question=['sharp' 'sharpest' 'low' 'lowest'], predicted=high
question=['sharp' 'sharpest' 'lucky' 'luckiest'], predicted=whitey
question=['sharp' 'sharpest' 'old' 'oldest'], predicted=only
question=['sharp' 'sharpest' 'quick' 'quickest'], predicted=prospecting
question=['simple' 'simplest' 'short' 'shortest'], predicted=second
question=['simple' 'simplest' 'slow' 'slowest'], predicted=fastest
question=['simple' 'simplest' 'small' 'smallest'], predicted=large
question=['simple' 'simplest' 'smart' 'smartest'], predicted=arene
question=['simple' 'simplest' 'strange' 'strangest'], predicted=gell
question=['simple' 'simplest' 'sweet' 'sweetest'], predicted=topper
question=['simple' 'simplest' 'tall' 'tallest'], predicted=inches
question=['simple' 'simplest' 'warm' 'warmest'], predicted=humid
question=['simple' 'simplest' 'young' 'youngest'], predicted=male
question=['simple' 'simplest' 'bad' 'worst'], predicted=luck
question=['simple' 'simplest' 'big' 'biggest'], predicted=bang
question=['simple' 'simplest' 'bright' 'brightest'], predicted=illuminated
question=['simple' 'simplest' 'cold' 'coldest'], predicted=spring
question=['simple' 'simplest' 'cool' 'coolest'], predicted=humid
question=['simple' 'simplest' 'dark' 'darkest'], predicted=sunlight
question=['simple' 'simplest' 'easy' 'easiest'], predicted=easier
question=['simple' 'simplest' 'fast' 'fastest'], predicted=chewing
question=['simple' 'simplest' 'good' 'best'], predicted=bad
question=['simple' 'simplest' 'high' 'highest'], predicted=low
question=['simple' 'simplest' 'hot' 'hottest'], predicted=humid
question=['simple' 'simplest' 'low' 'lowest'], predicted=high
question=['simple' 'simplest' 'lucky' 'luckiest'], predicted=loonie
question=['simple' 'simplest' 'quick' 'quickest'], predicted=advise
question=['simple' 'simplest' 'sharp' 'sharpest'], predicted=incisors
question=['short' 'shortest' 'slow' 'slowest'], predicted=fastest
question=['short' 'shortest' 'smart' 'smartest'], predicted=surveyed
question=['short' 'shortest' 'strange' 'strangest'], predicted=hobson
question=['short' 'shortest' 'strong' 'strongest'], predicted=demiurge
question=['short' 'shortest' 'sweet' 'sweetest'], predicted=honey
question=['short' 'shortest' 'tall' 'tallest'], predicted=ft
question=['short' 'shortest' 'warm' 'warmest'], predicted=moisture
question=['short' 'shortest' 'weak' 'weakest'], predicted=demiurge
question=['short' 'shortest' 'wide' 'widest'], predicted=spanning
question=['short' 'shortest' 'bad' 'worst'], predicted=incarnated
question=['short' 'shortest' 'big' 'biggest'], predicted=bang
question=['short' 'shortest' 'bright' 'brightest'], predicted=brighter
question=['short' 'shortest' 'cold' 'coldest'], predicted=warm
question=['short' 'shortest' 'cool' 'coolest'], predicted=warm
question=['short' 'shortest' 'dark' 'darkest'], predicted=sky
question=['short' 'shortest' 'easy' 'easiest'], predicted=impossible
question=['short' 'shortest' 'good' 'best'], predicted=bad
question=['short' 'shortest' 'great' 'greatest'], predicted=longest
question=['short' 'shortest' 'high' 'highest'], predicted=low
question=['short' 'shortest' 'hot' 'hottest'], predicted=humid
question=['short' 'shortest' 'lucky' 'luckiest'], predicted=congruent
question=['short' 'shortest' 'quick' 'quickest'], predicted=navigators
question=['short' 'shortest' 'sharp' 'sharpest'], predicted=steepest
question=['short' 'shortest' 'simple' 'simplest'], predicted=algorithm
question=['slow' 'slowest' 'small' 'smallest'], predicted=large
question=['slow' 'slowest' 'smart' 'smartest'], predicted=manhattan
question=['slow' 'slowest' 'strange' 'strangest'], predicted=pbr
question=['slow' 'slowest' 'strong' 'strongest'], predicted=nexus
question=['slow' 'slowest' 'sweet' 'sweetest'], predicted=pickles
question=['slow' 'slowest' 'tall' 'tallest'], predicted=feet
question=['slow' 'slowest' 'warm' 'warmest'], predicted=cooler
question=['slow' 'slowest' 'weak' 'weakest'], predicted=hbr
question=['slow' 'slowest' 'young' 'youngest'], predicted=children
question=['slow' 'slowest' 'bad' 'worst'], predicted=ugly
question=['slow' 'slowest' 'big' 'biggest'], predicted=kto
question=['slow' 'slowest' 'cold' 'coldest'], predicted=lewinsky
question=['slow' 'slowest' 'cool' 'coolest'], predicted=troposphere
question=['slow' 'slowest' 'dark' 'darkest'], predicted=hentai
question=['slow' 'slowest' 'easy' 'easiest'], predicted=convenient
question=['slow' 'slowest' 'fast' 'fastest'], predicted=dusk
question=['slow' 'slowest' 'great' 'greatest'], predicted=hung
question=['slow' 'slowest' 'hot' 'hottest'], predicted=rain
question=['slow' 'slowest' 'long' 'longest'], predicted=short
question=['slow' 'slowest' 'low' 'lowest'], predicted=highest
question=['slow' 'slowest' 'lucky' 'luckiest'], predicted=simcity
question=['slow' 'slowest' 'old' 'oldest'], predicted=kto
question=['slow' 'slowest' 'quick' 'quickest'], predicted=controllable
question=['slow' 'slowest' 'sharp' 'sharpest'], predicted=avtovaz
question=['slow' 'slowest' 'short' 'shortest'], predicted=second
question=['small' 'smallest' 'smart' 'smartest'], predicted=ballantine
question=['small' 'smallest' 'strange' 'strangest'], predicted=quark
question=['small' 'smallest' 'sweet' 'sweetest'], predicted=honey
question=['small' 'smallest' 'tall' 'tallest'], predicted=metres
question=['small' 'smallest' 'warm' 'warmest'], predicted=dry
question=['small' 'smallest' 'wide' 'widest'], predicted=definitions
question=['small' 'smallest' 'bad' 'worst'], predicted=ugly
question=['small' 'smallest' 'big' 'biggest'], predicted=bang
question=['small' 'smallest' 'cold' 'coldest'], predicted=winters
question=['small' 'smallest' 'cool' 'coolest'], predicted=dry
question=['small' 'smallest' 'dark' 'darkest'], predicted=baryonic
question=['small' 'smallest' 'easy' 'easiest'], predicted=impossible
question=['small' 'smallest' 'fast' 'fastest'], predicted=hexane
question=['small' 'smallest' 'good' 'best'], predicted=bad
question=['small' 'smallest' 'hot' 'hottest'], predicted=dry
question=['small' 'smallest' 'lucky' 'luckiest'], predicted=hexane
question=['small' 'smallest' 'quick' 'quickest'], predicted=subtraction
question=['small' 'smallest' 'sharp' 'sharpest'], predicted=characteristic
question=['small' 'smallest' 'short' 'shortest'], predicted=longest
question=['small' 'smallest' 'slow' 'slowest'], predicted=fastest
question=['smart' 'smartest' 'strange' 'strangest'], predicted=kwaidan
question=['smart' 'smartest' 'sweet' 'sweetest'], predicted=laurel
question=['smart' 'smartest' 'tall' 'tallest'], predicted=feet
question=['smart' 'smartest' 'warm' 'warmest'], predicted=humid
question=['smart' 'smartest' 'weak' 'weakest'], predicted=bacilli
question=['smart' 'smartest' 'wide' 'widest'], predicted=geographical
question=['smart' 'smartest' 'young' 'youngest'], predicted=youth
question=['smart' 'smartest' 'bad' 'worst'], predicted=happened
question=['smart' 'smartest' 'big' 'biggest'], predicted=godfather
question=['smart' 'smartest' 'bright' 'brightest'], predicted=spotless
question=['smart' 'smartest' 'cold' 'coldest'], predicted=warm
question=['smart' 'smartest' 'cool' 'coolest'], predicted=humid
question=['smart' 'smartest' 'dark' 'darkest'], predicted=multiverse
question=['smart' 'smartest' 'easy' 'easiest'], predicted=unlikely
question=['smart' 'smartest' 'good' 'best'], predicted=spotless
question=['smart' 'smartest' 'great' 'greatest'], predicted=unwashed
question=['smart' 'smartest' 'high' 'highest'], predicted=low
question=['smart' 'smartest' 'hot' 'hottest'], predicted=humid
question=['smart' 'smartest' 'large' 'largest'], predicted=small
question=['smart' 'smartest' 'low' 'lowest'], predicted=highest
question=['smart' 'smartest' 'lucky' 'luckiest'], predicted=godfather
question=['smart' 'smartest' 'old' 'oldest'], predicted=unwashed
question=['smart' 'smartest' 'quick' 'quickest'], predicted=jerk
question=['smart' 'smartest' 'sharp' 'sharpest'], predicted=clinching
question=['smart' 'smartest' 'simple' 'simplest'], predicted=straightforward
question=['smart' 'smartest' 'short' 'shortest'], predicted=brief
question=['smart' 'smartest' 'slow' 'slowest'], predicted=gradual
question=['smart' 'smartest' 'small' 'smallest'], predicted=large
question=['strange' 'strangest' 'strong' 'strongest'], predicted=firmly
question=['strange' 'strangest' 'sweet' 'sweetest'], predicted=tomato
question=['strange' 'strangest' 'tall' 'tallest'], predicted=taller
question=['strange' 'strangest' 'warm' 'warmest'], predicted=cold
question=['strange' 'strangest' 'weak' 'weakest'], predicted=strong
question=['strange' 'strangest' 'wide' 'widest'], predicted=wider
question=['strange' 'strangest' 'young' 'youngest'], predicted=sexually
question=['strange' 'strangest' 'bad' 'worst'], predicted=good
question=['strange' 'strangest' 'big' 'biggest'], predicted=dennison
question=['strange' 'strangest' 'bright' 'brightest'], predicted=illuminated
question=['strange' 'strangest' 'cold' 'coldest'], predicted=warm
question=['strange' 'strangest' 'cool' 'coolest'], predicted=warm
question=['strange' 'strangest' 'dark' 'darkest'], predicted=illuminated
question=['strange' 'strangest' 'easy' 'easiest'], predicted=chloroquine
question=['strange' 'strangest' 'fast' 'fastest'], predicted=chain
question=['strange' 'strangest' 'good' 'best'], predicted=supremely
question=['strange' 'strangest' 'great' 'greatest'], predicted=considerable
question=['strange' 'strangest' 'high' 'highest'], predicted=low
question=['strange' 'strangest' 'hot' 'hottest'], predicted=provence
question=['strange' 'strangest' 'large' 'largest'], predicted=small
question=['strange' 'strangest' 'long' 'longest'], predicted=span
question=['strange' 'strangest' 'low' 'lowest'], predicted=high
question=['strange' 'strangest' 'lucky' 'luckiest'], predicted=igo
question=['strange' 'strangest' 'old' 'oldest'], predicted=dating
question=['strange' 'strangest' 'quick' 'quickest'], predicted=waas
question=['strange' 'strangest' 'sharp' 'sharpest'], predicted=backlash
question=['strange' 'strangest' 'simple' 'simplest'], predicted=uploading
question=['strange' 'strangest' 'short' 'shortest'], predicted=long
question=['strange' 'strangest' 'slow' 'slowest'], predicted=rapid
question=['strange' 'strangest' 'small' 'smallest'], predicted=large
question=['strange' 'strangest' 'smart' 'smartest'], predicted=commercialization
question=['strong' 'strongest' 'sweet' 'sweetest'], predicted=apples
question=['strong' 'strongest' 'warm' 'warmest'], predicted=warmer
question=['strong' 'strongest' 'wide' 'widest'], predicted=stretches
question=['strong' 'strongest' 'bad' 'worst'], predicted=ugly
question=['strong' 'strongest' 'big' 'biggest'], predicted=bang
question=['strong' 'strongest' 'bright' 'brightest'], predicted=brighter
question=['strong' 'strongest' 'cold' 'coldest'], predicted=cool
question=['strong' 'strongest' 'cool' 'coolest'], predicted=dry
question=['strong' 'strongest' 'dark' 'darkest'], predicted=earthbound
question=['strong' 'strongest' 'easy' 'easiest'], predicted=easier
question=['strong' 'strongest' 'good' 'best'], predicted=bad
question=['strong' 'strongest' 'great' 'greatest'], predicted=largest
question=['strong' 'strongest' 'hot' 'hottest'], predicted=coldest
question=['strong' 'strongest' 'low' 'lowest'], predicted=lower
question=['strong' 'strongest' 'lucky' 'luckiest'], predicted=deadliest
question=['strong' 'strongest' 'quick' 'quickest'], predicted=fastest
question=['strong' 'strongest' 'sharp' 'sharpest'], predicted=jaw
question=['strong' 'strongest' 'short' 'shortest'], predicted=shorter
question=['strong' 'strongest' 'slow' 'slowest'], predicted=slows
question=['strong' 'strongest' 'small' 'smallest'], predicted=largest
question=['strong' 'strongest' 'smart' 'smartest'], predicted=upload
question=['strong' 'strongest' 'strange' 'strangest'], predicted=weird
question=['sweet' 'sweetest' 'tall' 'tallest'], predicted=metres
question=['sweet' 'sweetest' 'warm' 'warmest'], predicted=troposphere
question=['sweet' 'sweetest' 'weak' 'weakest'], predicted=hatter
question=['sweet' 'sweetest' 'wide' 'widest'], predicted=wider
question=['sweet' 'sweetest' 'young' 'youngest'], predicted=teenage
question=['sweet' 'sweetest' 'bad' 'worst'], predicted=pixx
question=['sweet' 'sweetest' 'big' 'biggest'], predicted=now
question=['sweet' 'sweetest' 'bright' 'brightest'], predicted=ultraviolet
question=['sweet' 'sweetest' 'cold' 'coldest'], predicted=troposphere
question=['sweet' 'sweetest' 'cool' 'coolest'], predicted=troposphere
question=['sweet' 'sweetest' 'dark' 'darkest'], predicted=fasa
question=['sweet' 'sweetest' 'easy' 'easiest'], predicted=zweites
question=['sweet' 'sweetest' 'fast' 'fastest'], predicted=steganography
question=['sweet' 'sweetest' 'good' 'best'], predicted=dependable
question=['sweet' 'sweetest' 'great' 'greatest'], predicted=chiaroscuro
question=['sweet' 'sweetest' 'high' 'highest'], predicted=low
question=['sweet' 'sweetest' 'hot' 'hottest'], predicted=entrapped
question=['sweet' 'sweetest' 'large' 'largest'], predicted=small
question=['sweet' 'sweetest' 'long' 'longest'], predicted=battlefront
question=['sweet' 'sweetest' 'low' 'lowest'], predicted=high
question=['sweet' 'sweetest' 'lucky' 'luckiest'], predicted=prescient
question=['sweet' 'sweetest' 'old' 'oldest'], predicted=now
question=['sweet' 'sweetest' 'quick' 'quickest'], predicted=forepaws
question=['sweet' 'sweetest' 'sharp' 'sharpest'], predicted=chiaroscuro
question=['sweet' 'sweetest' 'simple' 'simplest'], predicted=problem
question=['sweet' 'sweetest' 'short' 'shortest'], predicted=now
question=['sweet' 'sweetest' 'slow' 'slowest'], predicted=gradual
question=['sweet' 'sweetest' 'small' 'smallest'], predicted=large
question=['sweet' 'sweetest' 'smart' 'smartest'], predicted=voyagers
question=['sweet' 'sweetest' 'strange' 'strangest'], predicted=enchanting
question=['sweet' 'sweetest' 'strong' 'strongest'], predicted=prevailing
question=['tall' 'tallest' 'warm' 'warmest'], predicted=cold
question=['tall' 'tallest' 'weak' 'weakest'], predicted=strongest
question=['tall' 'tallest' 'wide' 'widest'], predicted=largest
question=['tall' 'tallest' 'young' 'youngest'], predicted=teacher
question=['tall' 'tallest' 'bad' 'worst'], predicted=good
question=['tall' 'tallest' 'bright' 'brightest'], predicted=catalogue
question=['tall' 'tallest' 'cold' 'coldest'], predicted=baryogenesis
question=['tall' 'tallest' 'cool' 'coolest'], predicted=cold
question=['tall' 'tallest' 'dark' 'darkest'], predicted=umbra
question=['tall' 'tallest' 'easy' 'easiest'], predicted=easier
question=['tall' 'tallest' 'fast' 'fastest'], predicted=transit
question=['tall' 'tallest' 'good' 'best'], predicted=bad
question=['tall' 'tallest' 'great' 'greatest'], predicted=largest
question=['tall' 'tallest' 'high' 'highest'], predicted=low
question=['tall' 'tallest' 'hot' 'hottest'], predicted=cold
question=['tall' 'tallest' 'low' 'lowest'], predicted=high
question=['tall' 'tallest' 'lucky' 'luckiest'], predicted=skyscraper
question=['tall' 'tallest' 'quick' 'quickest'], predicted=rapid
question=['tall' 'tallest' 'sharp' 'sharpest'], predicted=daugavpils
question=['tall' 'tallest' 'short' 'shortest'], predicted=longest
question=['tall' 'tallest' 'slow' 'slowest'], predicted=rapid
question=['tall' 'tallest' 'small' 'smallest'], predicted=largest
question=['tall' 'tallest' 'smart' 'smartest'], predicted=spaceflights
question=['tall' 'tallest' 'strange' 'strangest'], predicted=borkou
question=['tall' 'tallest' 'sweet' 'sweetest'], predicted=fruits
question=['warm' 'warmest' 'weak' 'weakest'], predicted=aara
question=['warm' 'warmest' 'wide' 'widest'], predicted=web
question=['warm' 'warmest' 'young' 'youngest'], predicted=child
question=['warm' 'warmest' 'bad' 'worst'], predicted=good
question=['warm' 'warmest' 'big' 'biggest'], predicted=detroit
question=['warm' 'warmest' 'bright' 'brightest'], predicted=brightness
question=['warm' 'warmest' 'cold' 'coldest'], predicted=january
question=['warm' 'warmest' 'cool' 'coolest'], predicted=coldest
question=['warm' 'warmest' 'dark' 'darkest'], predicted=moon
question=['warm' 'warmest' 'easy' 'easiest'], predicted=possible
question=['warm' 'warmest' 'fast' 'fastest'], predicted=tenth
question=['warm' 'warmest' 'good' 'best'], predicted=bad
question=['warm' 'warmest' 'great' 'greatest'], predicted=when
question=['warm' 'warmest' 'hot' 'hottest'], predicted=billboard
question=['warm' 'warmest' 'large' 'largest'], predicted=small
question=['warm' 'warmest' 'long' 'longest'], predicted=short
question=['warm' 'warmest' 'low' 'lowest'], predicted=high
question=['warm' 'warmest' 'lucky' 'luckiest'], predicted=griffey
question=['warm' 'warmest' 'old' 'oldest'], predicted=grader
question=['warm' 'warmest' 'quick' 'quickest'], predicted=mackinac
question=['warm' 'warmest' 'sharp' 'sharpest'], predicted=chord
question=['warm' 'warmest' 'simple' 'simplest'], predicted=algorithms
question=['warm' 'warmest' 'short' 'shortest'], predicted=long
question=['warm' 'warmest' 'slow' 'slowest'], predicted=progress
question=['warm' 'warmest' 'small' 'smallest'], predicted=large
question=['warm' 'warmest' 'smart' 'smartest'], predicted=watchmen
question=['warm' 'warmest' 'strange' 'strangest'], predicted=report
question=['warm' 'warmest' 'strong' 'strongest'], predicted=significant
question=['warm' 'warmest' 'sweet' 'sweetest'], predicted=gosford
question=['warm' 'warmest' 'tall' 'tallest'], predicted=metres
question=['weak' 'weakest' 'wide' 'widest'], predicted=range
question=['weak' 'weakest' 'young' 'youngest'], predicted=kids
question=['weak' 'weakest' 'bad' 'worst'], predicted=debuts
question=['weak' 'weakest' 'big' 'biggest'], predicted=bang
question=['weak' 'weakest' 'bright' 'brightest'], predicted=sky
question=['weak' 'weakest' 'cold' 'coldest'], predicted=winters
question=['weak' 'weakest' 'cool' 'coolest'], predicted=winters
question=['weak' 'weakest' 'dark' 'darkest'], predicted=coldest
question=['weak' 'weakest' 'easy' 'easiest'], predicted=fun
question=['weak' 'weakest' 'fast' 'fastest'], predicted=leno
question=['weak' 'weakest' 'high' 'highest'], predicted=low
question=['weak' 'weakest' 'hot' 'hottest'], predicted=winters
question=['weak' 'weakest' 'large' 'largest'], predicted=huge
question=['weak' 'weakest' 'long' 'longest'], predicted=short
question=['weak' 'weakest' 'low' 'lowest'], predicted=high
question=['weak' 'weakest' 'lucky' 'luckiest'], predicted=cnbc
question=['weak' 'weakest' 'old' 'oldest'], predicted=metro
question=['weak' 'weakest' 'quick' 'quickest'], predicted=coco
question=['weak' 'weakest' 'sharp' 'sharpest'], predicted=britpop
question=['weak' 'weakest' 'short' 'shortest'], predicted=debuts
question=['weak' 'weakest' 'slow' 'slowest'], predicted=intersputnik
question=['weak' 'weakest' 'small' 'smallest'], predicted=large
question=['weak' 'weakest' 'smart' 'smartest'], predicted=cnbc
question=['weak' 'weakest' 'strange' 'strangest'], predicted=triffids
question=['weak' 'weakest' 'strong' 'strongest'], predicted=greatest
question=['weak' 'weakest' 'sweet' 'sweetest'], predicted=pickles
question=['weak' 'weakest' 'tall' 'tallest'], predicted=meters
question=['weak' 'weakest' 'warm' 'warmest'], predicted=winters
question=['wide' 'widest' 'young' 'youngest'], predicted=mother
question=['wide' 'widest' 'bad' 'worst'], predicted=godesberg
question=['wide' 'widest' 'big' 'biggest'], predicted=bang
question=['wide' 'widest' 'bright' 'brightest'], predicted=shining
question=['wide' 'widest' 'cold' 'coldest'], predicted=warm
question=['wide' 'widest' 'cool' 'coolest'], predicted=dry
question=['wide' 'widest' 'dark' 'darkest'], predicted=shining
question=['wide' 'widest' 'easy' 'easiest'], predicted=impossible
question=['wide' 'widest' 'fast' 'fastest'], predicted=burgoyne
question=['wide' 'widest' 'good' 'best'], predicted=bad
question=['wide' 'widest' 'great' 'greatest'], predicted=britain
question=['wide' 'widest' 'high' 'highest'], predicted=low
question=['wide' 'widest' 'hot' 'hottest'], predicted=dry
question=['wide' 'widest' 'large' 'largest'], predicted=small
question=['wide' 'widest' 'lucky' 'luckiest'], predicted=garbo
question=['wide' 'widest' 'old' 'oldest'], predicted=castle
question=['wide' 'widest' 'quick' 'quickest'], predicted=convenient
question=['wide' 'widest' 'sharp' 'sharpest'], predicted=bridle
question=['wide' 'widest' 'short' 'shortest'], predicted=pauses
question=['wide' 'widest' 'slow' 'slowest'], predicted=slower
question=['wide' 'widest' 'small' 'smallest'], predicted=smaller
question=['wide' 'widest' 'smart' 'smartest'], predicted=yil
question=['wide' 'widest' 'strange' 'strangest'], predicted=gringo
question=['wide' 'widest' 'strong' 'strongest'], predicted=weak
question=['wide' 'widest' 'sweet' 'sweetest'], predicted=gotta
question=['wide' 'widest' 'tall' 'tallest'], predicted=feet
question=['wide' 'widest' 'warm' 'warmest'], predicted=dry
question=['wide' 'widest' 'weak' 'weakest'], predicted=strong
question=['young' 'youngest' 'bad' 'worst'], predicted=losing
question=['young' 'youngest' 'big' 'biggest'], predicted=bang
question=['young' 'youngest' 'bright' 'brightest'], predicted=heaviest
question=['young' 'youngest' 'cold' 'coldest'], predicted=heaviest
question=['young' 'youngest' 'cool' 'coolest'], predicted=coldest
question=['young' 'youngest' 'dark' 'darkest'], predicted=coldest
question=['young' 'youngest' 'easy' 'easiest'], predicted=impossible
question=['young' 'youngest' 'good' 'best'], predicted=tallest
question=['young' 'youngest' 'great' 'greatest'], predicted=tallest
question=['young' 'youngest' 'hot' 'hottest'], predicted=coldest
question=['young' 'youngest' 'low' 'lowest'], predicted=highest
question=['young' 'youngest' 'lucky' 'luckiest'], predicted=zara
question=['young' 'youngest' 'quick' 'quickest'], predicted=resounding
question=['young' 'youngest' 'sharp' 'sharpest'], predicted=heaviest
question=['young' 'youngest' 'short' 'shortest'], predicted=longest
question=['young' 'youngest' 'slow' 'slowest'], predicted=fastest
question=['young' 'youngest' 'small' 'smallest'], predicted=largest
question=['young' 'youngest' 'smart' 'smartest'], predicted=suvs
question=['young' 'youngest' 'strange' 'strangest'], predicted=minotaurs
question=['young' 'youngest' 'sweet' 'sweetest'], predicted=baked
question=['young' 'youngest' 'warm' 'warmest'], predicted=heaviest
question=['young' 'youngest' 'weak' 'weakest'], predicted=elapsed
question=['young' 'youngest' 'wide' 'widest'], predicted=largest
