question=['banana' 'bananas' 'bird' 'birds'], predicted=birds
question=['monkey' 'monkeys' 'building' 'buildings'], predicted=buildings
question=['monkey' 'monkeys' 'cat' 'cats'], predicted=cats
question=['monkey' 'monkeys' 'child' 'children'], predicted=children
question=['monkey' 'monkeys' 'cloud' 'clouds'], predicted=clouds
question=['monkey' 'monkeys' 'computer' 'computers'], predicted=computers
question=['monkey' 'monkeys' 'dream' 'dreams'], predicted=dreams
question=['monkey' 'monkeys' 'elephant' 'elephants'], predicted=elephants
question=['monkey' 'monkeys' 'eye' 'eyes'], predicted=eyes
question=['monkey' 'monkeys' 'horse' 'horses'], predicted=horses
question=['mouse' 'mice' 'rat' 'rats'], predicted=rats
question=['mouse' 'mice' 'road' 'roads'], predicted=roads
question=['mouse' 'mice' 'bird' 'birds'], predicted=birds
question=['mouse' 'mice' 'building' 'buildings'], predicted=buildings
question=['mouse' 'mice' 'car' 'cars'], predicted=cars
question=['mouse' 'mice' 'cat' 'cats'], predicted=cats
question=['mouse' 'mice' 'child' 'children'], predicted=children
question=['mouse' 'mice' 'cloud' 'clouds'], predicted=clouds
question=['mouse' 'mice' 'color' 'colors'], predicted=colors
question=['mouse' 'mice' 'computer' 'computers'], predicted=computers
question=['mouse' 'mice' 'dog' 'dogs'], predicted=dogs
question=['mouse' 'mice' 'dollar' 'dollars'], predicted=dollars
question=['mouse' 'mice' 'dream' 'dreams'], predicted=dreams
question=['mouse' 'mice' 'elephant' 'elephants'], predicted=elephants
question=['mouse' 'mice' 'finger' 'fingers'], predicted=fingers
question=['mouse' 'mice' 'goat' 'goats'], predicted=goats
question=['mouse' 'mice' 'horse' 'horses'], predicted=horses
question=['mouse' 'mice' 'man' 'men'], predicted=men
question=['onion' 'onions' 'bird' 'birds'], predicted=birds
question=['onion' 'onions' 'building' 'buildings'], predicted=buildings
question=['onion' 'onions' 'cloud' 'clouds'], predicted=clouds
question=['onion' 'onions' 'computer' 'computers'], predicted=computers
question=['onion' 'onions' 'dream' 'dreams'], predicted=dreams
question=['onion' 'onions' 'elephant' 'elephants'], predicted=elephants
question=['onion' 'onions' 'finger' 'fingers'], predicted=fingers
question=['onion' 'onions' 'goat' 'goats'], predicted=goats
question=['onion' 'onions' 'hand' 'hands'], predicted=hands
question=['onion' 'onions' 'horse' 'horses'], predicted=horses
question=['pear' 'pears' 'road' 'roads'], predicted=roads
question=['pear' 'pears' 'woman' 'women'], predicted=women
question=['pear' 'pears' 'bird' 'birds'], predicted=birds
question=['pear' 'pears' 'building' 'buildings'], predicted=buildings
question=['pear' 'pears' 'car' 'cars'], predicted=cars
question=['pear' 'pears' 'cat' 'cats'], predicted=cats
question=['pear' 'pears' 'child' 'children'], predicted=children
question=['pear' 'pears' 'cloud' 'clouds'], predicted=clouds
question=['pear' 'pears' 'computer' 'computers'], predicted=computers
question=['pear' 'pears' 'dog' 'dogs'], predicted=dogs
question=['pear' 'pears' 'dream' 'dreams'], predicted=dreams
question=['pear' 'pears' 'elephant' 'elephants'], predicted=elephants
question=['pear' 'pears' 'eye' 'eyes'], predicted=eyes
question=['pear' 'pears' 'goat' 'goats'], predicted=goats
question=['pear' 'pears' 'horse' 'horses'], predicted=horses
question=['pear' 'pears' 'machine' 'machines'], predicted=machines
question=['pear' 'pears' 'man' 'men'], predicted=men
question=['pig' 'pigs' 'road' 'roads'], predicted=roads
question=['pig' 'pigs' 'woman' 'women'], predicted=women
question=['pig' 'pigs' 'bird' 'birds'], predicted=birds
question=['pig' 'pigs' 'building' 'buildings'], predicted=buildings
question=['pig' 'pigs' 'car' 'cars'], predicted=cars
question=['pig' 'pigs' 'cat' 'cats'], predicted=cats
question=['pig' 'pigs' 'child' 'children'], predicted=children
question=['pig' 'pigs' 'color' 'colors'], predicted=colors
question=['pig' 'pigs' 'computer' 'computers'], predicted=computers
question=['pig' 'pigs' 'dog' 'dogs'], predicted=dogs
question=['pig' 'pigs' 'dollar' 'dollars'], predicted=dollars
question=['pig' 'pigs' 'dream' 'dreams'], predicted=dreams
question=['pig' 'pigs' 'elephant' 'elephants'], predicted=elephants
question=['pig' 'pigs' 'finger' 'fingers'], predicted=fingers
question=['pig' 'pigs' 'goat' 'goats'], predicted=goats
question=['pig' 'pigs' 'horse' 'horses'], predicted=horses
question=['pig' 'pigs' 'man' 'men'], predicted=men
question=['pig' 'pigs' 'mouse' 'mice'], predicted=mice
question=['pineapple' 'pineapples' 'road' 'roads'], predicted=roads
question=['pineapple' 'pineapples' 'woman' 'women'], predicted=women
question=['pineapple' 'pineapples' 'banana' 'bananas'], predicted=bananas
question=['pineapple' 'pineapples' 'bird' 'birds'], predicted=birds
question=['pineapple' 'pineapples' 'building' 'buildings'], predicted=buildings
question=['pineapple' 'pineapples' 'cat' 'cats'], predicted=cats
question=['pineapple' 'pineapples' 'color' 'colors'], predicted=colors
question=['pineapple' 'pineapples' 'computer' 'computers'], predicted=computers
question=['pineapple' 'pineapples' 'cow' 'cows'], predicted=cows
question=['pineapple' 'pineapples' 'dog' 'dogs'], predicted=dogs
question=['pineapple' 'pineapples' 'dream' 'dreams'], predicted=dreams
question=['pineapple' 'pineapples' 'goat' 'goats'], predicted=goats
question=['pineapple' 'pineapples' 'horse' 'horses'], predicted=horses
question=['pineapple' 'pineapples' 'mouse' 'mice'], predicted=mice
question=['rat' 'rats' 'road' 'roads'], predicted=roads
question=['rat' 'rats' 'woman' 'women'], predicted=women
question=['rat' 'rats' 'bird' 'birds'], predicted=birds
question=['rat' 'rats' 'building' 'buildings'], predicted=buildings
question=['rat' 'rats' 'car' 'cars'], predicted=cars
question=['rat' 'rats' 'cat' 'cats'], predicted=cats
question=['rat' 'rats' 'child' 'children'], predicted=children
question=['rat' 'rats' 'computer' 'computers'], predicted=computers
question=['rat' 'rats' 'dollar' 'dollars'], predicted=dollars
question=['rat' 'rats' 'dream' 'dreams'], predicted=dreams
question=['rat' 'rats' 'elephant' 'elephants'], predicted=elephants
question=['rat' 'rats' 'eye' 'eyes'], predicted=eyes
question=['rat' 'rats' 'goat' 'goats'], predicted=goats
question=['rat' 'rats' 'horse' 'horses'], predicted=horses
question=['rat' 'rats' 'man' 'men'], predicted=men
question=['rat' 'rats' 'mouse' 'mice'], predicted=mice
question=['rat' 'rats' 'pig' 'pigs'], predicted=pigs
question=['road' 'roads' 'bird' 'birds'], predicted=birds
question=['road' 'roads' 'bottle' 'bottles'], predicted=bottles
question=['road' 'roads' 'building' 'buildings'], predicted=buildings
question=['road' 'roads' 'car' 'cars'], predicted=cars
question=['road' 'roads' 'child' 'children'], predicted=children
question=['road' 'roads' 'cloud' 'clouds'], predicted=clouds
question=['road' 'roads' 'color' 'colors'], predicted=colors
question=['road' 'roads' 'computer' 'computers'], predicted=computers
question=['road' 'roads' 'dollar' 'dollars'], predicted=dollars
question=['road' 'roads' 'dream' 'dreams'], predicted=dreams
question=['road' 'roads' 'elephant' 'elephants'], predicted=elephants
question=['road' 'roads' 'eye' 'eyes'], predicted=eyes
question=['road' 'roads' 'goat' 'goats'], predicted=goats
question=['road' 'roads' 'hand' 'hands'], predicted=hands
question=['road' 'roads' 'horse' 'horses'], predicted=horses
question=['road' 'roads' 'machine' 'machines'], predicted=machines
question=['road' 'roads' 'man' 'men'], predicted=men
question=['road' 'roads' 'mouse' 'mice'], predicted=mice
question=['snake' 'snakes' 'bird' 'birds'], predicted=birds
question=['snake' 'snakes' 'building' 'buildings'], predicted=buildings
question=['snake' 'snakes' 'car' 'cars'], predicted=cars
question=['snake' 'snakes' 'cat' 'cats'], predicted=cats
question=['snake' 'snakes' 'child' 'children'], predicted=children
question=['snake' 'snakes' 'cloud' 'clouds'], predicted=clouds
question=['snake' 'snakes' 'color' 'colors'], predicted=colors
question=['snake' 'snakes' 'computer' 'computers'], predicted=computers
question=['snake' 'snakes' 'cow' 'cows'], predicted=cows
question=['snake' 'snakes' 'dog' 'dogs'], predicted=dogs
question=['snake' 'snakes' 'dream' 'dreams'], predicted=dreams
question=['snake' 'snakes' 'eagle' 'eagles'], predicted=eagles
question=['snake' 'snakes' 'elephant' 'elephants'], predicted=elephants
question=['snake' 'snakes' 'finger' 'fingers'], predicted=fingers
question=['snake' 'snakes' 'goat' 'goats'], predicted=goats
question=['snake' 'snakes' 'horse' 'horses'], predicted=horses
question=['snake' 'snakes' 'mouse' 'mice'], predicted=mice
question=['snake' 'snakes' 'road' 'roads'], predicted=roads
question=['woman' 'women' 'bird' 'birds'], predicted=birds
question=['woman' 'women' 'building' 'buildings'], predicted=buildings
question=['woman' 'women' 'car' 'cars'], predicted=cars
question=['woman' 'women' 'cat' 'cats'], predicted=cats
question=['woman' 'women' 'child' 'children'], predicted=children
question=['woman' 'women' 'cloud' 'clouds'], predicted=clouds
question=['woman' 'women' 'color' 'colors'], predicted=colors
question=['woman' 'women' 'computer' 'computers'], predicted=computers
question=['woman' 'women' 'dog' 'dogs'], predicted=dogs
question=['woman' 'women' 'dollar' 'dollars'], predicted=dollars
question=['woman' 'women' 'dream' 'dreams'], predicted=dreams
question=['woman' 'women' 'elephant' 'elephants'], predicted=elephants
question=['woman' 'women' 'eye' 'eyes'], predicted=eyes
question=['woman' 'women' 'goat' 'goats'], predicted=goats
question=['woman' 'women' 'horse' 'horses'], predicted=horses
question=['woman' 'women' 'machine' 'machines'], predicted=machines
question=['woman' 'women' 'man' 'men'], predicted=men
question=['woman' 'women' 'mouse' 'mice'], predicted=mice
question=['woman' 'women' 'road' 'roads'], predicted=roads
